"","teams","PTS","FGM","FGA","FG","X3PM","X3PA","X3P","FTM","FTA","FT","OR","DR","REB","AST","STL","BLK","TO","PF","season","playoffs"
"1","Phoenix Suns",110.4,40.9,85.6,47.7,9.7,24.7,39.3,19,25.4,74.8,11.8,32.3,44.1,23.5,7,5.5,13.7,19.1,2005,1
"2","Sacramento Kings",103.7,39.1,85.1,45.9,6.4,17,37.4,19.2,24.4,78.7,12.5,29.9,42.4,24.5,8.2,3.9,13.1,20.5,2005,1
"3","Dallas Mavericks",102.5,37.3,81.6,45.7,5.6,15.5,36.4,22.3,28.2,78.9,12.1,30.9,42.9,19.6,8.6,5.6,13.4,22.3,2005,1
"4","Miami Heat",101.5,37.8,77.7,48.6,5.8,15.4,37.7,20.2,30.1,67.2,10.8,32.2,43,21.8,6.4,5.8,13.7,22.1,2005,1
"5","Boston Celtics",101.3,37.1,79.4,46.8,5.3,15.3,34.9,21.6,28.3,76.4,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,2005,1
"6","Washington Wizards",100.5,36.2,82.9,43.7,6.3,18.3,34.3,21.9,30.2,72.5,13.8,29,42.8,19.1,8.7,4.2,14.3,22,2005,1
"7","Toronto Raptors",99.7,36,81.2,44.4,7.9,20.5,38.5,19.8,25.6,77.4,10.3,29.8,40.1,20.4,7.6,3.9,13.3,22.9,2005,0
"8","Denver Nuggets",99.5,37,80.7,45.9,3.9,11.5,34,21.5,28.2,76.3,11.8,30.2,42,23.9,9.1,6,14.9,22.9,2005,1
"9","Orlando Magic",99.5,37,81.5,45.4,3.9,11.2,34.9,21.6,28.5,75.9,12.7,31,43.7,19.3,7.7,5.4,16.1,23.6,2005,0
"10","Philadelphia 76ers",99.1,35.9,82.1,43.7,6.2,17.7,34.8,21.1,26.8,78.9,11.1,30.9,42,20.9,9.2,3.9,15.5,22.9,2005,1
"11","Seattle SuperSonics",98.9,35.1,79.2,44.4,8.1,22.2,36.5,20.5,26,79,12.7,28.2,40.9,18.1,6.7,4.1,13.6,23.7,2005,1
"12","Los Angeles Lakers",98.7,35.3,80.8,43.7,7.9,22.1,35.5,20.3,26.1,77.7,12.5,30.6,43.2,20.4,6.2,4.2,14.3,21.9,2005,0
"13","Golden State Warriors",98.7,36.9,85.8,43,7.6,21.6,35.2,17.2,23.8,72.2,13,29.7,42.7,22.1,7.8,5.1,13.6,22.4,2005,0
"14","New York Knicks",97.3,36.3,80.5,45.1,5.4,15.1,35.6,19.3,25.1,76.7,11.8,29.2,41,20.3,7.7,3.2,14.7,23.7,2005,0
"15","Milwaukee Bucks",97.2,36.1,80.2,45,4,11.3,35.1,21,27.2,77.2,12,29.3,41.3,21,6.5,3.5,13.8,21.9,2005,0
"16","Minnesota Timberwolves",96.8,37.1,80.8,45.9,4.8,14,34.5,17.7,22.2,79.6,11.5,31.5,43,23.4,5.6,5.5,13.2,21.6,2005,0
"17","Cleveland Cavaliers",96.5,36.5,81.5,44.7,3.7,11,33.2,19.9,26.5,75.2,13.6,28.7,42.3,22.6,8,5.6,13.9,22.6,2005,0
"18","San Antonio Spurs",96.2,35.6,78.7,45.3,6.2,17,36.3,18.7,25.9,72.4,12,30.4,42.4,21.6,7.5,6.6,13.7,20.9,2005,1
"19","LA Clippers",95.7,35.7,77.7,45.9,2.8,8.2,34.5,21.6,27.7,77.8,12,29.9,41.9,23.2,7.3,5.1,15.7,22.2,2005,0
"20","Houston Rockets",95.1,34.7,78.3,44.3,6.7,18.5,36.4,18.9,24.2,78.1,10.7,31.7,42.4,21.1,6.9,4.6,13.8,22,2005,1
"21","Chicago Bulls",94.5,34.7,80.4,43.2,6.2,17.5,35.7,18.7,25,75,12.2,31.6,43.8,21.3,7,4.5,16.7,24.7,2005,1
"22","Charlotte Bobcats",94.3,36.1,83.6,43.2,3.9,10.7,36.3,18.1,25.6,70.9,13.2,28.5,41.7,21.9,8.5,5.4,14.5,23.1,2005,0
"23","Memphis Grizzlies",93.4,34.2,76.5,44.7,6.5,18.1,35.7,18.6,24.7,75.4,10.8,28.1,39,20.9,8.5,5.8,14.6,23.3,2005,1
"24","Detroit Pistons",93.3,34.8,78.3,44.4,4.4,12.8,34.5,19.4,26.2,73.9,12.9,30.6,43.4,21.8,7,6.1,13.8,20,2005,1
"25","Indiana Pacers",93,32.5,75.2,43.2,6.6,19.2,34.4,21.3,26.9,79.2,10.6,29.5,40.1,18.2,7.5,4.4,14.3,23,2005,1
"26","Utah Jazz",93,34.5,76.8,44.9,3,9.3,32.8,21,27.7,75.7,12.8,27.4,40.1,22.3,6.6,4.6,15.8,26.7,2005,0
"27","Portland Trail Blazers",92.9,35.3,78.3,45.1,5.1,14.2,36.2,17.2,23.7,72.5,11.8,29.3,41.1,21,7.1,6.6,16,20.8,2005,0
"28","Atlanta Hawks",92.7,35.9,81.4,44.1,3.7,11.9,31.2,17.3,24.3,71.1,13.4,28.5,41.9,19.7,7.7,4.2,16.1,24.5,2005,0
"29","New Jersey Nets",91.4,33.6,78.3,42.9,5.3,14.7,36.2,19,24.9,76.3,10.4,29.1,39.5,21.6,7.9,3.8,14.2,24.2,2005,1
"30","New Orleans Hornets",88.4,33.1,80,41.5,5.1,16,31.5,17.1,22.3,76.6,12.4,27.8,40.2,21,6.7,3.8,14.8,23,2005,0
"31","Phoenix Suns",108.4,41.8,87.4,47.9,10.2,25.6,39.9,14.5,18,80.6,9.5,32.3,41.8,26.6,6.7,5,13.3,20.5,2006,1
"32","Seattle SuperSonics",102.6,37.5,81.8,45.8,7.4,19.9,37.1,20.1,25.7,78.5,12.4,27.2,39.6,20.7,7.6,3.7,14.7,23.6,2006,0
"33","Washington Wizards",101.7,36.3,81.2,44.7,6.1,17,35.7,23,30.4,75.7,12.6,28.6,41.2,18.6,8,4.1,13.9,22.6,2006,1
"34","Toronto Raptors",101.1,36.7,81,45.4,7.4,19.8,37.5,20.2,25.5,79.1,10.5,27.9,38.5,19.4,6.5,3.3,13.1,24,2006,0
"35","Denver Nuggets",100.3,37.5,81.4,46.1,4.3,13.1,32.5,21,28.2,74.4,11,30.3,41.3,23.4,8.5,5.6,14.8,22.7,2006,1
"36","Miami Heat",99.9,37.1,77.5,47.8,6.1,17.6,34.5,19.7,28.2,70,10.5,32.6,43.1,20.6,6.4,5.4,14.5,22.8,2006,1
"37","Los Angeles Lakers",99.4,36.5,80.6,45.3,6.7,19.3,34.9,19.7,26.5,74.5,11.8,30.3,42.2,21.1,7.7,4.3,13.9,23.1,2006,1
"38","Philadelphia 76ers",99.4,36.6,79.8,45.8,4.6,12.6,36.4,21.6,28.4,76,10.6,29.6,40.2,20.2,7.9,4.9,14.1,20.9,2006,0
"39","Dallas Mavericks",99.1,36,77.7,46.2,5.1,13.6,37.4,22.2,28.3,78.3,12.6,29.6,42.2,18,7.2,6,13.6,22.4,2006,1
"40","Sacramento Kings",98.9,36,79.3,45.4,6,17.2,35.1,20.8,26.5,78.4,10.4,30.2,40.5,22.3,7.4,3.6,14.6,20.4,2006,1
"41","Golden State Warriors",98.5,35.8,82.7,43.3,7.6,22.3,34.1,19.2,26.7,71.8,12,30.3,42.3,20.7,7.4,4.4,14.1,23.7,2006,0
"42","Boston Celtics",98,36,77.1,46.7,5.7,15.7,36.2,20.3,26.9,75.5,9.9,29.7,39.6,20.9,7,5.1,16.6,24.8,2006,0
"43","Chicago Bulls",97.8,36.6,82.2,44.6,6.8,18,37.9,17.7,24,73.8,11,31.7,42.8,22,6.2,4.2,14.9,24.9,2006,1
"44","Milwaukee Bucks",97.8,36.3,80.1,45.3,6.2,16.3,38,19,25.8,73.8,11.3,29.9,41.2,21.6,7.3,3.3,14.6,23.2,2006,1
"45","Cleveland Cavaliers",97.6,35.5,78.2,45.4,6.1,17.9,33.9,20.6,28.3,72.9,11.7,30.6,42.3,19,6.9,4.8,13.9,21.1,2006,1
"46","Atlanta Hawks",97.2,35.9,79.2,45.4,5.2,14.1,36.7,20.2,26.9,75,13,27.2,40.3,19.8,7.2,4.8,15.7,25,2006,0
"47","LA Clippers",97.2,36.5,78.6,46.5,3.5,10.3,34.4,20.7,26.1,79.1,10.1,33,43.1,20.8,6.5,6.1,14.5,22.8,2006,1
"48","Charlotte Bobcats",96.9,36.1,83.5,43.3,5.2,15.4,33.9,19.4,26.7,72.9,12.1,27.7,39.8,20.9,10,4.3,14.2,23.9,2006,0
"49","Detroit Pistons",96.8,36.4,80,45.5,6.8,17.7,38.4,17.3,23.8,72.7,11.9,28.6,40.5,24,7.1,6,11.4,18.5,2006,1
"50","New York Knicks",95.6,34.4,75.7,45.5,3.9,10.8,36.2,22.9,31.5,72.6,12.6,28.8,41.4,17.9,6.8,3.3,17.7,26.3,2006,0
"51","San Antonio Spurs",95.6,36.5,77.3,47.2,6.4,16.6,38.5,16.2,23.1,70.2,10.4,31.1,41.5,20.9,6.6,5.7,13.7,20.9,2006,1
"52","Orlando Magic",94.9,35.5,75.2,47.2,3.6,9.7,37.6,20.3,27.8,73,10.9,29.3,40.2,18.2,6.5,4.4,15.1,23.3,2006,0
"53","Indiana Pacers",93.9,34,76.5,44.4,6.5,18.7,34.9,19.4,26.3,73.7,11,31.2,42.2,19.9,7.3,5,15.3,22.2,2006,1
"54","New Jersey Nets",93.8,33.9,77,44,5.8,17.6,33,20.2,26.7,75.8,10,31,41,23,6.8,3.4,13.6,23.2,2006,1
"55","NO/Oklahoma City
 Hornets",92.8,34.5,78.4,44,3.7,10.8,33.9,20.1,26.5,75.8,11.2,29,40.2,18.5,7.5,3.8,13.4,21.8,2006,0
"56","Utah Jazz",92.4,33.5,75.7,44.2,3.8,11.3,33.6,21.6,30.1,71.9,13.1,29,42.1,21.6,6.4,6,15.7,24.8,2006,0
"57","Memphis Grizzlies",92.2,33.5,74.7,44.8,7.2,19.2,37.4,18,25.3,71.1,10.2,29,39.2,19.3,7.3,5.4,13.8,21.4,2006,1
"58","Minnesota Timberwolves",91.7,35.2,77.3,45.6,3.8,11.5,32.9,17.5,23.1,75.8,9.9,29.5,39.4,20.9,6.8,5.7,14.5,23,2006,0
"59","Houston Rockets",90.1,33,76.2,43.3,5.7,17.2,33.2,18.3,24.1,75.9,10.4,31.3,41.6,19.3,7.2,3.9,14.5,22.7,2006,0
"60","Portland Trail Blazers",88.8,34,76.4,44.5,4.4,12.7,34.9,16.3,23.7,68.9,10.8,26.9,37.7,18.2,6.5,5.3,14.7,22.3,2006,0
"61","Phoenix Suns",110.2,41.3,83.6,49.4,9.6,24,39.9,18,22.3,80.8,9,31.5,40.5,25.9,6.7,4.8,14.5,20.2,2007,1
"62","Golden State Warriors",106.5,39.8,86,46.3,8.5,24,35.6,18.5,25.8,71.7,11.5,30,41.4,23.8,9.1,5.7,16,23.6,2007,1
"63","Denver Nuggets",105.4,38.6,83,46.5,5.9,17.6,33.6,22.3,29.9,74.6,12.2,31.2,43.4,23.4,8.3,5.3,16.5,21.4,2007,1
"64","Washington Wizards",104.3,37.4,83.2,45,6.8,19.7,34.8,22.6,29.6,76.5,12.2,29,41.2,20.2,7.7,4.6,13.8,22.2,2007,1
"65","Los Angeles Lakers",103.3,37.8,81.3,46.6,7.4,21,35.3,20.2,27.1,74.7,10.8,30.4,41.2,22.6,7.3,5.1,15.5,23,2007,1
"66","Memphis Grizzlies",101.6,36.6,78.6,46.5,6.1,16.6,36.7,22.4,29.4,76.1,10.6,29,39.5,20.5,6.9,5,16.4,22.3,2007,0
"67","Utah Jazz",101.5,37.4,78.9,47.4,4.3,12.9,33.5,22.3,30,74.3,12.6,30,42.5,24.7,7,4.1,15.6,25.2,2007,1
"68","Sacramento Kings",101.3,35.9,79.7,45,6.5,18.5,35,23.1,30.2,76.5,9.7,29.2,38.9,20.3,8.2,3.2,14.6,21.9,2007,0
"69","Dallas Mavericks",100,36.7,78.6,46.7,6.5,17.1,38.1,20.1,24.9,80.5,11.2,30.7,41.9,19.9,6.8,5,13.9,22.4,2007,1
"70","Milwaukee Bucks",99.7,38.1,81.9,46.5,6.4,18,35.6,17.1,23.4,73.3,11.5,27.7,39.2,21.6,7.2,2.7,15.1,22.2,2007,0
"71","Toronto Raptors",99.5,37,79.8,46.3,6.5,17.9,36.3,19,24.2,78.8,9.2,30.2,39.5,22.2,7.1,3.9,13.5,20.4,2007,1
"72","Seattle SuperSonics",99.1,37.2,80.8,46,6.4,17.7,36.2,18.4,23.3,79.1,11.3,28.3,39.6,20.7,7.7,3.7,15.5,22,2007,0
"73","Chicago Bulls",98.8,37.1,81.3,45.7,5.9,15.1,38.8,18.6,25.4,73.4,12,31.7,43.7,22.3,7.8,5.4,16,23.3,2007,1
"74","San Antonio Spurs",98.5,36.6,77.2,47.4,7.3,19,38.1,18.1,24.1,75.1,9.3,31.4,40.7,22.1,7.2,5.1,13.9,19.4,2007,1
"75","New Jersey Nets",97.6,35.5,77.8,45.7,7.4,20.4,36.3,19.1,26.3,72.7,10,30.8,40.8,23.9,6.1,3.3,14.8,22.8,2007,1
"76","New York Knicks",97.5,35.4,77.5,45.7,5.8,16.7,34.6,20.9,29.2,71.5,12.6,30.7,43.3,18.7,6.6,3.2,17.1,23.6,2007,0
"77","Houston Rockets",97,35.4,79.6,44.5,8.6,23.1,37.2,17.5,23.2,75.3,10.7,32.6,43.3,20.8,7.1,4.1,14.2,20.9,2007,1
"78","Charlotte Bobcats",96.9,36.1,81,44.6,5.6,15.6,35.7,19.1,26,73.4,11.2,28.6,39.8,22.4,7.8,4.5,14.9,24.2,2007,0
"79","Cleveland Cavaliers",96.8,36.3,81.2,44.7,6,17.1,35.2,18.1,26,69.6,12.7,30.8,43.5,20.8,7.6,4.3,14.4,21.7,2007,1
"80","Minnesota Timberwolves",96.1,36.5,79.3,46.1,4.7,13.3,35.3,18.3,23.1,79.2,10,30.2,40.2,22.5,6.5,4,15.6,21.4,2007,0
"81","Detroit Pistons",96,35.9,79.1,45.4,5.5,15.9,34.4,18.8,24.2,77.4,11.6,29,40.5,21.6,7.1,5.8,12.2,20.4,2007,1
"82","Boston Celtics",95.8,34.9,78.7,44.3,5.7,15.6,36.7,20.4,26.6,76.7,11.2,29.2,40.4,19.9,7.2,4.7,16.5,24,2007,0
"83","LA Clippers",95.6,35.1,77,45.6,3.8,11,34.8,21.6,27.4,78.8,10.8,30.3,41.1,21.5,7.3,5.8,15.1,22.7,2007,0
"84","Indiana Pacers",95.6,35,80,43.8,5.9,16.9,34.6,19.7,25.9,76,12.1,29.8,41.8,20.5,7.3,5.5,16.3,23.3,2007,0
"85","NO/Oklahoma City Hornets",95.5,36.2,81.4,44.5,5.5,15.3,36.2,17.5,23.7,74,12.5,30.6,43.1,18.7,6.4,4.2,14.5,19.8,2007,0
"86","Philadelphia 76ers",94.9,35.8,78.1,45.8,3.5,10,34.5,20,26,76.7,11,28.7,39.7,20.4,7.2,4.8,15.3,20.4,2007,0
"87","Orlando Magic",94.8,35.1,74.3,47.2,4.2,11.7,35.6,20.5,29.2,70.2,11.2,29.5,40.7,18.6,6.9,5.1,17,23.2,2007,1
"88","Miami Heat",94.6,35.6,76.7,46.4,6.4,18.8,34.3,17,24.6,69,10,30.8,40.8,20.5,6.9,5.4,14.6,21.3,2007,1
"89","Portland Trail Blazers",94.1,35,78,45,5.2,15,34.6,18.8,24.5,76.9,11.3,28,39.3,18.5,6.8,4.6,15.1,23.5,2007,0
"90","Atlanta Hawks",93.7,34.5,77.7,44.4,4.2,12.7,32.9,20.5,26.9,76.1,11.9,28.2,40.1,19.2,7.4,5.4,15.9,24,2007,0
"91","Golden State Warriors",111,41.5,90.3,45.9,9.3,26.6,34.8,18.8,24.9,75.2,12.7,30.4,43.2,22.4,9.1,4.6,13.2,22.9,2008,0
"92","Denver Nuggets",110.7,40.3,85.8,47,6.9,19.6,35.5,23.1,30.7,75.1,11.2,32.9,44.1,24.7,9.2,6.7,14.7,21.1,2008,1
"93","Phoenix Suns",110.1,41.4,82.7,50,8.5,21.5,39.3,18.9,24.1,78.3,8.8,32.7,41.5,26.7,6.5,6.3,14.4,19.9,2008,1
"94","Los Angeles Lakers",108.6,39.6,83.1,47.6,8.1,21.4,37.8,21.3,27.7,76.9,11,33.2,44.1,24.4,8,5.3,14.1,20.6,2008,1
"95","Utah Jazz",106.2,40,80.4,49.7,5,13.4,37.2,21.3,28,75.9,11.5,29.4,40.9,26.4,8.7,4.3,14.6,24,2008,1
"96","Orlando Magic",104.5,37.3,78.6,47.4,9.8,25.3,38.6,20.1,27.9,72.1,9.4,32.6,42,20.8,6.3,4.1,14.3,20.6,2008,1
"97","Indiana Pacers",104,37.8,85.3,44.4,9.2,24.6,37.4,19.1,24.9,76.8,11,32.1,43.1,22.7,7.6,5,15.1,23.4,2008,0
"98","Sacramento Kings",102.5,37.1,80,46.4,6.2,16.7,37.3,22.1,27.7,79.8,10.1,30,40.1,19.1,7.9,4.1,16.1,22.4,2008,0
"99","New Orleans Hornets",100.9,38.6,82.9,46.6,7.7,19.8,38.9,16,20.8,76.9,11.4,30.4,41.8,21.8,7.8,3.9,11.9,18.7,2008,1
"100","Memphis Grizzlies",100.7,37.3,82.2,45.4,7.6,21.7,34.9,18.5,25.6,72.3,10.3,31.3,41.6,19.2,6.1,4.7,15.3,19.4,2008,0
"101","Boston Celtics",100.5,36.4,76.7,47.5,7.3,19.1,38.1,20.5,26.5,77.1,10.1,31.9,42,22.4,8.5,4.6,15.2,22.7,2008,1
"102","Dallas Mavericks",100.4,36.9,79.5,46.4,6,17.1,35.2,20.6,25.3,81.4,10.8,32.2,43,21,6,4.9,12.6,21.8,2008,1
"103","Toronto Raptors",100.2,38.4,82,46.8,7,17.8,39.2,16.4,20.2,81.2,9.6,30.4,40.1,23.8,7,4.1,11.7,19.5,2008,1
"104","Washington Wizards",98.8,36.4,81.6,44.6,7,19.7,35.6,19,24.3,78.2,12.3,29.3,41.6,19.6,7.7,4.8,13.2,19.6,2008,1
"105","Atlanta Hawks",98.2,36.3,79.9,45.4,4.7,13.1,35.6,21,27.2,77.2,12.3,29.9,42.2,22,7.3,5.5,14.9,20.4,2008,1
"106","Seattle SuperSonics",97.5,38.1,85.8,44.4,3.8,11.5,33.3,17.5,22.8,77,11.8,32.8,44.6,21.3,6.5,4.9,16,20.5,2008,0
"107","Detroit Pistons",97.5,36.6,79.9,45.8,5.9,16.2,36.6,18.4,24,76.7,11.9,29.5,41.4,22.3,7.1,5.8,11.7,20.6,2008,1
"108","Chicago Bulls",97.3,36.4,83.7,43.5,5.8,15.9,36.3,18.7,24.7,75.6,12.8,30.2,43,22.1,7.7,5.2,14.6,21.8,2008,0
"109","Charlotte Bobcats",97.1,36.1,79.9,45.2,6.5,17.6,36.7,18.4,25.8,71.4,10.9,29.8,40.6,21.3,7.5,4.9,14.7,21.7,2008,0
"110","Milwaukee Bucks",97,36.9,82.3,44.9,5.5,16,34.4,17.7,24.1,73.3,12.9,28.8,41.7,21.5,6.6,4.4,14.8,21.3,2008,0
"111","New York Knicks",96.9,36.2,82.4,43.9,6,17.7,33.7,18.6,25.5,72.7,12.5,30,42.5,18.7,6.4,2.6,14.5,21.5,2008,0
"112","Houston Rockets",96.7,36.6,81.7,44.8,7.1,20.8,34.2,16.4,22.5,72.6,12.2,32.4,44.6,21.4,7.3,5.1,13.7,19.6,2008,1
"113","Philadelphia 76ers",96.6,37.3,81.1,46,3.7,11.6,31.7,18.4,26.1,70.6,13,28.9,41.9,20.4,8.7,4.9,14.3,19.8,2008,1
"114","Cleveland Cavaliers",96.4,35.8,81.7,43.9,6.7,18.8,35.8,18,25.1,71.7,13.3,31.3,44.6,20,7.1,5.2,14,20.9,2008,1
"115","New Jersey Nets",95.8,34.8,78.7,44.3,6.1,17.4,34.8,20.1,27.3,73.6,11.1,30.7,41.9,23.5,6.4,4.8,15,22.6,2008,0
"116","Minnesota Timberwolves",95.6,37.5,83.1,45.1,5.4,15.4,35,15.2,20.6,73.6,11.8,29.6,41.4,19.9,7.5,3.7,14.5,23,2008,0
"117","Portland Trail Blazers",95.4,35.8,79.8,44.8,6.6,17.4,37.7,17.2,22.5,76.7,11,29.7,40.7,21.1,5.5,4.4,12.9,20,2008,0
"118","San Antonio Spurs",95.4,35.8,78.3,45.7,7.2,19.6,36.9,16.5,21.6,76.1,9.4,31.9,41.3,21,6.4,4.1,12.6,18.7,2008,1
"119","LA Clippers",93.8,34.4,78.6,43.8,4.3,13.2,32.4,20.8,26.6,78.1,9.8,30.4,40.1,21.1,6.8,4.9,14.4,21.3,2008,0
"120","Miami Heat",91.4,34.2,77.3,44.3,6,16.7,35.8,16.9,23.2,72.7,9.1,28.6,37.6,20,7.2,4.3,14.7,20.4,2008,0
"121","Phoenix Suns",109.4,41.1,81.6,50.4,6.7,17.6,38.3,20.4,27.5,74.4,11,30.7,41.7,23.2,7.2,5.1,15.7,20.6,2009,0
"122","Golden State Warriors",108.6,39.4,86,45.8,6.7,18,37.3,23.1,29.2,79.1,11.6,30.4,42,20.9,7.8,6.4,14.6,22.5,2009,0
"123","Los Angeles Lakers",106.9,40.3,85.1,47.4,6.7,18.5,36.1,19.6,25.5,77,12.4,31.5,43.9,23.3,8.8,5.1,13.5,20.7,2009,1
"124","New York Knicks",105.2,38.5,86.5,44.5,10,27.9,36,18.2,23.2,78.4,11.1,31,42.1,21.2,7.4,2.5,14.3,20.4,2009,0
"125","Indiana Pacers",105.1,39.3,86.3,45.5,8,21,37.8,18.6,23,80.7,11.3,32.5,43.7,21.6,7,5.3,14.5,23.1,2009,0
"126","Denver Nuggets",104.3,37.3,79.4,47,6.7,18,37.1,23.1,30.3,76,11,30.6,41.6,22.2,8.7,6,15.3,22.9,2009,1
"127","Utah Jazz",103.6,38.3,80.8,47.5,4.8,13.7,34.9,22.1,28.7,77.1,11.5,29.5,41,24.7,8.8,4.6,14.8,22.3,2009,1
"128","Chicago Bulls",102.2,38.1,83.5,45.7,6,15.8,38.1,19.9,25,79.6,11.8,30.3,42.1,21.1,7.5,5.5,14.5,20.8,2009,1
"129","Dallas Mavericks",101.7,38.1,82.6,46.2,7,19.9,35,18.5,22.6,81.9,11.1,31.6,42.7,21.7,7.2,5.2,12.7,19.5,2009,1
"130","Orlando Magic",101,35.7,78.2,45.7,10,26.2,38.1,19.6,27.5,71.5,10,33.3,43.3,19.4,7,5.4,13.9,20.3,2009,1
"131","Boston Celtics",100.9,37.5,77.2,48.6,6.6,16.5,39.7,19.4,25.3,76.5,10.6,31.5,42.1,22.7,7.6,4.7,15.6,23.1,2009,1
"132","Sacramento Kings",100.6,36.5,81.5,44.7,7.1,19.4,36.8,20.5,25.7,79.8,10.2,28.9,39.1,19.7,6.9,4.3,15.4,23.3,2009,0
"133","Cleveland Cavaliers",100.3,36.9,78.7,46.8,8,20.4,39.3,18.6,24.5,75.7,10.8,31.4,42.2,20.3,7.2,5.3,12.7,20.3,2009,1
"134","Portland Trail Blazers",99.4,36.8,79.2,46.5,7.3,19,38.3,18.5,24.2,76.5,12.9,28.8,41.7,20.3,6.7,4.9,12.9,20.4,2009,1
"135","Milwaukee Bucks",99.3,36.7,82.4,44.5,6.2,17.2,36.3,19.7,25.2,78,11.9,28.9,40.7,22,7.4,3.8,14.1,24.2,2009,0
"136","Toronto Raptors",99,37.2,81.4,45.8,5.8,15.7,37.2,18.7,22.7,82.4,9.8,30.6,40.4,22.4,6.4,4.8,13.4,19.4,2009,0
"137","Houston Rockets",98.4,36.1,79.6,45.3,7.6,20.2,37.5,18.7,23.2,80.5,10.5,32.5,43,20.3,6.7,4.3,14.1,18.9,2009,1
"138","Miami Heat",98.3,37,81,45.7,7.1,19.9,35.7,17.2,22.8,75.4,10.1,29.4,39.5,20.4,7.9,5.5,12.5,20.7,2009,1
"139","Atlanta Hawks",98.1,36,78.7,45.8,7.3,19.9,36.6,18.7,25.4,73.7,10.6,29.4,40,20.2,7.4,4.6,12.8,19.6,2009,1
"140","New Jersey Nets",98.1,35.7,79.7,44.8,8,21.2,37.6,18.8,24.1,77.9,10.4,29.5,39.8,20,6.8,4.8,13.1,22.4,2009,0
"141","Minnesota Timberwolves",97.8,36.4,82.5,44.1,6.6,18.8,35.3,18.3,23.9,76.9,11.9,29.8,41.7,20.4,6.2,3.9,14.2,21.8,2009,0
"142","Philadelphia 76ers",97.4,36.5,79.7,45.9,4.2,13.1,31.8,20.1,27,74.5,12.7,28.5,41.2,20.1,8,5.1,14.1,20.1,2009,1
"143","San Antonio Spurs",97,37.1,79.7,46.6,7.6,19.8,38.6,15.2,20,76.1,8.9,32.2,41,21.2,5.8,4,11.7,18.9,2009,1
"144","Oklahoma City Thunder",97,36.6,81.9,44.7,4,11.6,34.6,19.8,25.2,78.6,12.2,30.5,42.6,20.3,7.4,4.5,16.2,20.2,2009,0
"145","Washington Wizards",96.1,36.5,81.2,45,4.8,14.6,33,18.2,23.8,76.7,11.7,28.4,40.1,20,7.5,4.5,14,20.5,2009,0
"146","New Orleans Hornets",95.8,35.5,77.6,45.7,6.8,18.6,36.4,18,22.4,80.7,9.8,29.9,39.7,19.6,7.2,4.1,12.5,20.3,2009,1
"147","LA Clippers",95.1,36,81.7,44.1,6.5,18.5,35.4,16.5,22.4,73.6,10.9,29,39.8,21,7,5.9,14.9,20.1,2009,0
"148","Detroit Pistons",94.2,36.4,80,45.4,4.6,13.2,34.9,16.9,22.5,75.1,11.6,29.9,41.4,20.6,6,4.6,11.9,20.9,2009,1
"149","Memphis Grizzlies",93.9,34.9,77,45.4,4.9,13.5,36,19.1,25.3,75.6,10.3,28.5,38.8,17.4,7.5,4.7,15.3,21.7,2009,0
